Word,Total Occurrences,doc6.txt,doc5.txt,doc4.txt,doc1.txt,doc3.txt,doc2.txt
Karzai,1,,,,,,
dress,1,,,,,,
whose,2,,,,,,
bottomlines,1,,,,,,
highschool,1,,,,,,
"pedigree,",1,,,,,,
atrocity,1,,,,,,
approval.,1,,,,,,
happening.,1,,,,,,
exploited,1,,,,,,
vast,1,,,,,,
smallnessof,1,,,,,,
CEO,1,,,,,,
presumptuousnessa,1,,,,,,
George,8,,,,,,
contracts,1,,,,,,
56,1,,,,,,
factions,7,,,,,,
least,1,,,,,,
hurt,2,,,,,,
"world,",7,,,,,,
educationfrom,1,,,,,,
questionsto,1,,,,,,
Enough,3,,,,,,
"destruction,",2,,,,,,
factory.,1,,,,,,
defined,1,,,,,,
advantageous,1,,,,,,
prosperity,1,,,,,,
sense,9,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,
water,1,,,,,,
"Program,",1,,,,,,
swept,1,,,,,,
appreciate,1,,,,,,
office.,2,,,,,,
teaching,1,,,,,,
area,1,,,,,,
"slumber,",1,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,
"share,",1,,,,,,
penalty,1,,,,,,
countermeasures.,1,,,,,,
worlds,3,,,,,,
valor,1,,,,,,
Washingtons,2,,,,,,
Back,1,,,,,,
Security.,1,,,,,,
society;,1,,,,,,
hours,3,,,,,,"In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships."
"said,",3,,,,,,
"was,",2,,,,,,
Scripture,1,,,,,,
wealth,1,,,,,,
heading,1,,,,,,
harms,1,,,,,,
battlefields,1,,,,,,
backdrop,1,,,,,,
"built,",1,,,,,,
true,9,,,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.",,,
speeches.,1,,,,,,
operated,1,,,,,,
historical,1,,,,,,
see?,1,,,,,,
hands,2,,,,,,
strides,1,,,,,,
believed.,2,,,,,,
stock,1,,,,,,
battles,1,,,,,Let it be said that we will conduct a smart foreign policy that battles the forces of terrorism and fundamentalism wherever they may exist by matching the might of our military with the power of our diplomacy and the strength of our alliances.,
obtained,1,,,,,,
"911,",4,,,,,,
desperate,1,,,,,,
poorest,1,,,,,,
sites.,1,,,,,,
imaginebut,1,,,,,,
"fascism,",1,,,,,,
"money,",1,,,,,,
After,2,,,,,,
adequately,1,,,,,,
familys,1,,,,,,
continent,3,,,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.",,,
lives.,3,,,,,,
or,71,"And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come. | With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come? | But when we think about the threat that these weapons pose to our global security, we cannot allow the U.S.-Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started.","“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”
This is now the reality of Iraq. | I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences. | As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.","But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict. | The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds. | Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.","I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill. | And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you. | What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.","I've thought about how she lived to see a world war and a Great Depression and a second world war, and how she saw her brothers and uncles and nephews and cousins coming home from those wars and still have to sit at the back of a bus. | Let it be said that we will conduct a smart foreign policy that battles the forces of terrorism and fundamentalism wherever they may exist by matching the might of our military with the power of our diplomacy and the strength of our alliances.","We measure the strength of our economy not by the number of billionaires we have or the profits of the Fortune 500, but by whether someone with a good idea can take a risk and start a new business, or whether the waitress who lives on tips can take a day off to look after a sick kid without losing her job - an economy that honors the dignity of work. | In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships. | It's a promise I make to my daughters when I tuck them in at night, and a promise that you make to yours - a promise that has led immigrants to cross oceans and pioneers to travel west; a promise that led workers to picket lines, and women to reach for the ballot."
East,3,,,,,,
hopes,4,,,,,,
"you,",8,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.","And in the midst of this rally, someone comes up to me and says that there's a woman who'd like to come meet you, and she's traveled a long way and she wants to take a picture and shake your hand.",
Chicago,2,,,,,,
human,2,,,,,,
"markets,",1,,,,,,
picture,1,,,,,"And in the midst of this rally, someone comes up to me and says that there's a woman who'd like to come meet you, and she's traveled a long way and she wants to take a picture and shake your hand.",
safeguard,1,,,,,,
"it,",3,,,,,,
mighty,1,,,,,,
presence,3,,,,,,
recruit,4,,,,,,
every,27,,,,,,
country,34,,,,,,"In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships."
"security,",5,"But when we think about the threat that these weapons pose to our global security, we cannot allow the U.S.-Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started.",,,,,
spiral,1,,,,,,
trade.,1,,,,,,
sight,1,,,,,,
shes,3,,,,,,
"teachers,",4,,,,,,
everybodys,1,,,,,,
require,6,,"I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.",,,,
employers,2,,,,,,
soldiers,5,,,,,,
hurricane,1,,,,,,
questions,3,,,,,,
promising.,1,,,,,,
middle,1,,,,,,
prosperous,1,,,,,,
A,7,"And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.","“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”
This is now the reality of Iraq. | I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences. | As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.","But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict. | The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds.","And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.","And in the midst of this rally, someone comes up to me and says that there's a woman who'd like to come meet you, and she's traveled a long way and she wants to take a picture and shake your hand.",
instincts,1,,,,,,
claim,1,,,,,,
started.,1,"But when we think about the threat that these weapons pose to our global security, we cannot allow the U.S.-Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started.",,,,,
equivocation.,1,,,,,,
originally,1,,,,,,
enclaves,1,,"As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.",,,,
asked,6,,,,,,
fail.,1,,,,,,
whatits,1,,,,,,
"revenues,",1,,,,,,
tribe,1,,,,,,
nobody,1,,,,,,
lessons,2,,,,,,
air.,1,,,,,,
sources,2,,,,,,
"Africa,",2,,,"The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds.",,,
ready,3,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,
walked,1,,,,,,
face,16,,,"The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds.","I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",,"In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships."
"commerce,",1,,,,,,
overthehorizon,1,,,,,,
ended,2,,,,,,
bombing,1,,,,,,
struggles,2,,,,,,
obligation,4,,,,,,
sacred,1,,,,,,
drought.,1,,,,,,
prevents,1,,,,,,
deepest,1,,,,,,
quoting,1,,,,,,
turn.,2,,,,,,
saw,18,,,,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.","I've thought about how she lived to see a world war and a Great Depression and a second world war, and how she saw her brothers and uncles and nephews and cousins coming home from those wars and still have to sit at the back of a bus.",
begging,1,,,,,,
911,1,,,,,,
"attorney,",1,,,,,,
odds,1,,,"The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds.",,,
bus.,1,,,,,"I've thought about how she lived to see a world war and a Great Depression and a second world war, and how she saw her brothers and uncles and nephews and cousins coming home from those wars and still have to sit at the back of a bus.",
grateful,2,,,,,,
strife.,1,,,,,,
quickly,2,,,,,,
wounds,1,,,,,,
"Kabuga,",1,,,,,,
Taliban,2,,,,,,
yet,4,,,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.",,,
fair.,1,,,,,,
dramatically,1,,,,,,
"Memorial,",1,,,,,,
especially,4,,,,,,
pack,1,,,,,,
Kenyan,13,,,"Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.",,,
learned,8,,,,,,
no,40,"But when we think about the threat that these weapons pose to our global security, we cannot allow the U.S.-Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started.","“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”
This is now the reality of Iraq. | I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.","But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict. | The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds. | Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.","I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill. | And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,"We measure the strength of our economy not by the number of billionaires we have or the profits of the Fortune 500, but by whether someone with a good idea can take a risk and start a new business, or whether the waitress who lives on tips can take a day off to look after a sick kid without losing her job - an economy that honors the dignity of work."
becoming,2,,,,,,
away,4,,,,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",,
increasingly,3,,,,,,
school,1,,,,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",,"In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships."
represent,1,"And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.",,,,,
"Independents,",1,,,,,,
rape,1,,,,,,
intelligently,1,"And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.",,,,,
there.,2,,,,,,
ambitions.,2,,,,,,
dismissal,1,,,,,,
"wide,",1,,,,,,
911.,1,,,,,,
opportunity.,3,,,,,,
campaign.,1,,,,,,
climate,3,,,"Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.",,,
Nairobi.,1,,,,,,
"cars,",1,,,,,,
vote.,1,,,,,,
dollars,4,,,,,,
elses,4,,,,,,
service;,1,,,,,,
did.,1,,,,,,
abroad.,1,,,,,,
enslaved,1,,,,,,
move,8,,,,,,
rogue,3,,,,,,
withlag,1,,,,,,
recognize,1,,,,,,
blessedwith,1,,,,,,
modernizes,1,,,,,,
organize,1,,,,,,
struggle,4,,,,,,
lieutenants,1,,,,,,
through.,1,,,,,,
used,3,,,,,,
retirement,1,,,,,,
pledge,3,,,,,,
genius,1,,,,,,
passed.,1,,,,,,
Maybe,1,,,,,,
advisory,1,,,,,,
related,1,,,,,,
courageous,1,,,,,,
U.S.,16,"But when we think about the threat that these weapons pose to our global security, we cannot allow the U.S.-Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started.","As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.",,,,
void.,1,,,,,,
heart,7,,,"Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.","I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",,
threatened,3,,,,,,
"Lady,",1,,,,,,
forces.,2,,,,,,
laypeople,1,,,,,,
world’s,1,,,,,,
"twice,",1,,,,,,
Kurds,1,,,,,,
"grandmother,",1,,,,,,
voters,1,,,,,,
cell,1,,,,,,
concluded,1,,,,,,
bringing,4,,,,,,
warmth,1,,,,,,
appeals,1,,,,,,
moral,3,,,,,,
"And,",3,,,,,,
student,5,,,,,,"In the face of that young student who sleeps just three hours before working the night shift, I think about my mom, who raised my sister and me on her own while she worked and earned her degree; who once turned to food stamps but was still able to send us to the best schools in the country with the help of student loans and scholarships."
Eight,1,,,,,,
Ukraine,1,,,,,,
tiny,1,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,
fringes,1,,,,,,
historic,1,,,,,,
further,3,,,,,,
interconnected,1,,,,,,
past.,3,,,,,,
ethics,2,,,,,,
benefits,4,,,,,,
expect,3,,,,,,
Alabama,1,,,,,,
act,2,,"“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”
This is now the reality of Iraq. | As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.",,"What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.",,
"be,",2,,,,,,
"Auma,",1,,,,,,
votes,1,,,,,,
policies,4,,,,,,
most.,2,,,,,,
democracy’s,1,,,,,,
balances,1,,,,,,
enormous,1,,,,,,
Were,2,,,,,,
neighborhoods.,1,,,,,,
unilaterally,1,,,,,,
elements,1,,,,,,
longterm,1,,,,,,
farmers,1,,,,,,
Azerbaijan,1,,,,,,
parent.,1,,,,,,
materialsas,1,,,,,,
sights,1,,,,,,
More,2,,,,,,
neighbor,1,,,,,,
businessmen,1,,,,,,
exists,1,,,,,,
President:,1,,,,,,
riches.,1,,,,,,
correctly.,1,,,,,,
program,3,,,,,,
"continent,",1,,,,,,
interests.,1,,,,,,
due,2,,,,,,
broke,1,,,,,,
promoting,1,,,,,,
"fair,",1,,,,,,
hereBetty,1,,,,,,
"outbreaks,",1,,,,,,
herself,2,,,,,,
access,5,,,,,,
personnel,2,,,,,,
"Chicago,",3,,,,,,
differences,3,,,,,,
frustration,2,,,,,,
sending,1,,,,,,
is.,2,,,,,,
exist,1,,,,,Let it be said that we will conduct a smart foreign policy that battles the forces of terrorism and fundamentalism wherever they may exist by matching the might of our military with the power of our diplomacy and the strength of our alliances.,
"frail,",1,,,,,,
Influenza,1,,,,,,
have.,1,,,,,,
respect.,2,,,,,,
entered,1,,,,,,
feet,1,,,,,,
adjust,1,,,,,,
difficult.,1,,,,,,
brave,1,,,,,,
crises,1,,,,,,
Barack,1,,,,,,
again.,4,,,,,,
meet,9,,,,,"And in the midst of this rally, someone comes up to me and says that there's a woman who'd like to come meet you, and she's traveled a long way and she wants to take a picture and shake your hand.",
"registration,",1,,,,,,
philosophy,1,,,,,,
laboratory,1,,,,,,
Willingness,1,,,,,,
gamble,1,,,,,,
keep.,1,,,,,,
counseling,1,,,,,,
"Siaya,",1,,,,,,
colleagues,1,,,,,,
cloud,1,,,,,,
weakened,1,,,,,,
breaking,2,,,,,,
Hussein,2,,"I said then and believe now that Saddam Hussein was a ruthless dictator who craved weapons of mass destruction but posed no imminent threat to the United States; that a war in Iraq would harm, not help, our efforts to defeat al Qaeda and finish the job in Afghanistan; and that an invasion would require an occupation of undetermined length, at undetermined cost, with undetermined consequences.",,,,
gaining,2,,,,,,
"see,",2,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,
tomorrow.,1,,,,,,
escalation,1,,,,,,
solar,1,,,,,,
together,16,,,,,,
specific.,1,,,,,,
trip.,3,,,,,,
"come,",1,,,,,,
house,2,,,,,,
Four,2,,,,,,
pool,1,,,,,,
"on,",1,,,,,,
been,63,,,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.",,,
gas,2,,,,,,
society,2,,,,,,
guarding,1,,,,,,
"turmoil,",1,,,,,,
"patrol,",1,,,,,,
parents,2,,,,,,
everyone,6,,,,,,
walk,6,,,"Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.",,,
factors,2,,,,,,
talked.,1,,,,,,
towards,7,,,,,,
plant,4,,,,,,
toits,1,,,,,,
doubt.,1,,,,,,
visible,1,,"As a phased redeployment is executed, the majority of the U.S. troops remaining in Iraq should be dedicated to the critical, but less visible roles, of protecting logistics supply points, critical infrastructure, and American enclaves like the Green Zone, as well as acting as a rapid reaction force to respond to emergencies and go after terrorists.",,,,
publicly,1,,,,,,
away.,1,,,,,,
dialogue,1,,,,,,
opened,2,,,,,,
"despair,",3,,,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.",,,
nobid,1,,,,,,
"will,",1,,,,,,
Colin,1,,,,,,
easier.,1,,,,,,
ago.,3,,,,,,
chaos.,2,,,,,,
advantage,1,,,,,,
chronically,1,,,,,,
propose,1,,,,,,
"ideas,",1,,,,,,
term.,1,,,,,,
longing,1,,,,,,
highly,2,,,,,,
dangerous,7,,,,,,
"quote,",1,,,,,,
BushMcCain,1,,,,,,
networks,1,,,,,,
track,1,,,,,,
material,3,,,,,,
resolution,1,,,,,,
jobs,11,,,,,,
usit,1,,,,,,
"property,",1,,,,,,
"heart,",1,,,,,,
digital,1,,,,,,
"budget,",1,,,,,,
familybecause,1,,,,,,
technology.,1,,,,,,
age.,1,,,,,,
voting,2,,,,,,
wonteventry,1,,,,,,
traced,1,,,,"I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill.",,
sound,1,,,,,,
biggest,1,,,,,,
make,30,,,,"And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.",,"It's a promise I make to my daughters when I tuck them in at night, and a promise that you make to yours - a promise that has led immigrants to cross oceans and pioneers to travel west; a promise that led workers to picket lines, and women to reach for the ballot."
placed,1,,,"But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict.",,,
guy,1,,,,,,
saying.,1,,,,,,
luggage.,1,,,,,,
elsewhere,2,,,,,,
"cities,",1,,,,,,
cherished,1,,,,,,
bin,2,,,,,,
